Date,Cases - Total,Date-1,Avg_DP
5/23/2020,328,5/16/2020,48.5
5/24/2020,280,5/17/2020,60.6
5/25/2020,252,5/18/2020,55.7
5/26/2020,754,5/19/2020,54.1
5/27/2020,614,5/20/2020,49.8
5/28/2020,521,5/21/2020,51.2
5/29/2020,463,5/22/2020,56.2
5/30/2020,243,5/23/2020,61.3
5/31/2020,120,5/24/2020,64
6/1/2020,238,5/25/2020,64.3
6/2/2020,246,5/26/2020,64.9
6/3/2020,284,5/27/2020,65.8
6/4/2020,322,5/28/2020,65.3
6/5/2020,339,5/29/2020,54.3
6/6/2020,171,5/30/2020,47
6/7/2020,110,5/31/2020,40.3
6/8/2020,272,6/1/2020,44.2
6/9/2020,257,6/2/2020,60.4
6/10/2020,235,6/3/2020,60.5
6/11/2020,204,6/4/2020,64.4
6/12/2020,247,6/5/2020,64.8
6/13/2020,121,6/6/2020,52.5
6/14/2020,92,6/7/2020,52.8
6/15/2020,234,6/8/2020,50.9
6/16/2020,213,6/9/2020,67.3
6/17/2020,221,6/10/2020,65.4
6/18/2020,184,6/11/2020,49
6/19/2020,219,6/12/2020,49.3
6/20/2020,124,6/13/2020,45.8
6/21/2020,47,6/14/2020,43.2
6/22/2020,220,6/15/2020,43.4
6/23/2020,233,6/16/2020,54.1
6/24/2020,244,6/17/2020,53.2
6/25/2020,247,6/18/2020,52.4
6/26/2020,218,6/19/2020,57
6/27/2020,130,6/20/2020,62.2
6/28/2020,112,6/21/2020,64.8
6/29/2020,280,6/22/2020,66.3
6/30/2020,266,6/23/2020,54.2
7/1/2020,262,6/24/2020,53.8
7/2/2020,254,6/25/2020,54.8
7/3/2020,175,6/26/2020,66.3
7/4/2020,62,6/27/2020,68.8
7/5/2020,88,6/28/2020,68.4
7/6/2020,284,6/29/2020,69.4
7/7/2020,348,6/30/2020,69.7
7/8/2020,310,7/1/2020,64
7/9/2020,288,7/2/2020,61.8
7/10/2020,343,7/3/2020,60.3
7/11/2020,156,7/4/2020,66.3
7/12/2020,97,7/5/2020,62.9
7/13/2020,338,7/6/2020,62.4
7/14/2020,322,7/7/2020,66.1
7/15/2020,269,7/8/2020,67.2
7/16/2020,297,7/9/2020,68.4
7/17/2020,325,7/10/2020,66.8
7/18/2020,134,7/11/2020,62.5
7/19/2020,101,7/12/2020,62.4
7/20/2020,390,7/13/2020,59
7/21/2020,288,7/14/2020,58.9
7/22/2020,369,7/15/2020,66.2
7/23/2020,318,7/16/2020,65.3
7/24/2020,344,7/17/2020,65.7
7/25/2020,157,7/18/2020,73.5
7/26/2020,97,7/19/2020,69.9
7/27/2020,365,7/20/2020,61.2
7/28/2020,335,7/21/2020,65.3
7/29/2020,444,7/22/2020,67.8
7/30/2020,341,7/23/2020,60.6
7/31/2020,393,7/24/2020,65.2
8/1/2020,141,7/25/2020,65.5
8/2/2020,93,7/26/2020,71.1
8/3/2020,422,7/27/2020,68.8
8/4/2020,368,7/28/2020,60
8/5/2020,377,7/29/2020,64.3
8/6/2020,349,7/30/2020,61.3
8/7/2020,416,7/31/2020,59.8
8/8/2020,176,8/1/2020,62.2
8/9/2020,116,8/2/2020,63.7
8/10/2020,379,8/3/2020,59.9
8/11/2020,385,8/4/2020,49
8/12/2020,433,8/5/2020,50.7
8/13/2020,392,8/6/2020,53.9
8/14/2020,348,8/7/2020,56.4
8/15/2020,223,8/8/2020,61.5
8/16/2020,123,8/9/2020,68.3
8/17/2020,499,8/10/2020,70.4
8/18/2020,394,8/11/2020,57.9
8/19/2020,470,8/12/2020,58.6
8/20/2020,396,8/13/2020,60.8
8/21/2020,413,8/14/2020,60.3
8/22/2020,183,8/15/2020,65
8/23/2020,111,8/16/2020,54.6
8/24/2020,519,8/17/2020,54.5
8/25/2020,395,8/18/2020,53
8/26/2020,382,8/19/2020,52.4
8/27/2020,353,8/20/2020,52.7
8/28/2020,377,8/21/2020,56.6
8/29/2020,222,8/22/2020,59
8/30/2020,90,8/23/2020,62.5
8/31/2020,342,8/24/2020,66.6
,,,
,,,
,,,
,,,
